DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:53:33,280_380V_10A_9,300,26,0.09,25,279.4,0,219,
20250320 09:53:35,280_380V_10A_9,300,25.8,0.09,25,279.4,0,219,
20250320 09:53:36,280_380V_10A_9,300,348.5,0.09,25,279.4,0.4,219,
20250320 09:53:36,280_380V_10A_9,300,563.5,0.09,25,279.4,0.5,219,
20250320 09:53:37,280_380V_10A_9,300,697.9,0.09,25,279.4,0.6,219,
20250320 09:53:37,280_380V_10A_9,300,702.7,0.09,25,279.4,0,219,
20250320 09:53:38,280_380V_10A_9,300,696,3.47,1014.5,279.5,1.9,219,
20250320 09:53:38,280_380V_10A_9,231,701.8,10,2792,279.5,4.4,218.5,
20250320 09:53:39,280_380V_10A_9,233,703,9.99,2795,279.5,4.4,218.5,
20250320 09:53:40,280_380V_10A_9,231,702.7,10,2793,279.6,4.4,218.5,
20250320 09:53:40,280_380V_10A_9,232,703,9.99,2795,279.5,4.4,219,
20250320 09:53:41,280_380V_10A_9,232,702.6,9.99,2796,279.5,4.4,219,
20250320 09:53:41,280_380V_10A_9,230,703.4,10,2792,279.6,4.4,219,
20250320 09:53:42,280_380V_10A_9,230,702.7,10,2792,279.5,4.5,219,
20250320 09:53:42,280_380V_10A_9,207,698.8,9.99,2892,289.5,4.5,219,
20250320 09:53:43,280_380V_10A_9,197,688.5,10,2892,289.5,4.6,218.5,
20250320 09:53:44,280_380V_10A_9,198,688,10,2892,289.5,4.6,219,
20250320 09:53:44,280_380V_10A_9,198,687.2,9.99,2895,289.5,4.6,219,
20250320 09:53:45,280_380V_10A_9,197,687.2,10,2892,289.5,4.5,218.5,
20250320 09:53:45,280_380V_10A_9,198,687.8,9.99,2895,289.5,4.6,218.5,
20250320 09:53:46,280_380V_10A_9,197,687.3,10,2895,289.5,4.6,218.5,
20250320 09:53:46,280_380V_10A_9,197,687.9,9.99,2895,289.5,4.5,218.5,
20250320 09:53:47,280_380V_10A_9,197,687.7,10,2892,289.5,4.6,218.5,
20250320 09:53:47,280_380V_10A_9,197,688.1,9.99,2992,299.5,4.7,219,
20250320 09:53:48,280_380V_10A_9,177,687.6,10,2993,299.5,4.7,219,
20250320 09:53:48,280_380V_10A_9,178,687.3,9.99,2996,299.5,4.7,219,
20250320 09:53:49,280_380V_10A_9,178,688,9.99,2996,299.6,4.7,219,
20250320 09:53:49,280_380V_10A_9,177,688.3,10,2996,299.6,4.7,218.5,
20250320 09:53:50,280_380V_10A_9,177,687.1,10,2992,299.6,4.7,219,
20250320 09:53:50,280_380V_10A_9,177,688.2,10,2992,299.5,4.7,219,
20250320 09:53:51,280_380V_10A_9,178,687.8,9.99,2996,299.6,4.7,219,
20250320 09:53:51,280_380V_10A_9,178,687.9,9.99,2995,299.6,4.7,218.5,
20250320 09:53:52,280_380V_10A_9,177,687,10,2992,299.5,4.7,218.5,
20250320 09:53:52,280_380V_10A_9,177,687.7,10,2992,299.5,4.7,218.5,
20250320 09:53:53,280_380V_10A_9,156,687.6,10,3091.5,309.5,4.8,218.5,
20250320 09:53:53,280_380V_10A_9,158,687.9,10,3091.5,309.5,4.9,218.5,
20250320 09:53:54,280_380V_10A_9,158,687.2,9.99,3095,309.5,4.9,219,
20250320 09:53:54,280_380V_10A_9,156,687,10,3091.5,309.5,4.9,219,
20250320 09:53:55,280_380V_10A_9,158,688,10,3091.5,309.5,4.9,219,
20250320 09:53:55,280_380V_10A_9,157,687.2,9.99,3095,309.5,4.9,219,
20250320 09:53:56,280_380V_10A_9,156,687,9.99,3095,309.4,4.9,219,
20250320 09:53:56,280_380V_10A_9,156,687.2,10,3091.5,309.5,4.9,218.5,
20250320 09:53:57,280_380V_10A_9,157,687.8,10,3091.5,309.5,4.8,218.5,
20250320 09:53:57,280_380V_10A_9,156,688,9.99,3190.5,319.4,4.9,218.5,
20250320 09:53:58,280_380V_10A_9,253,791.3,10,3194,319.4,5.1,218.5,
20250320 09:53:58,280_380V_10A_9,262,802,9.99,3194,319.4,5,218.5,
20250320 09:53:59,280_380V_10A_9,261,801.1,9.99,3194,319.4,5,218.5,
20250320 09:53:59,280_380V_10A_9,262,802.3,10,3194,319.4,5.1,218.5,
20250320 09:54:00,280_380V_10A_9,261,801.2,10,3189.5,319.3,5,218.5,
20250320 09:54:00,280_380V_10A_9,262,801.7,10,3189.5,319.3,5,218.5,
20250320 09:54:01,280_380V_10A_9,261,802,9.99,3193,319.4,5,219,
20250320 09:54:01,280_380V_10A_9,261,801.5,10,3194,319.4,5.1,219,
20250320 09:54:02,280_380V_10A_9,261,801.2,10,3194,319.4,5.1,219,
20250320 09:54:02,280_380V_10A_9,241,800.3,9.99,3293,329.3,5.2,219,
20250320 09:54:03,280_380V_10A_9,242,802.7,9.99,3294,329.4,5.2,218.5,
20250320 09:54:03,280_380V_10A_9,244,803.3,9.99,3294,329.4,5.2,218.5,
20250320 09:54:04,280_380V_10A_9,242,802.4,10,3290.5,329.3,5.2,219,
20250320 09:54:04,280_380V_10A_9,243,803.2,10,3290.5,329.4,5.2,219,
20250320 09:54:05,280_380V_10A_9,244,801.9,9.99,3294,329.3,5.2,218.5,
20250320 09:54:05,280_380V_10A_9,244,802.4,9.99,3293,329.3,5.2,218.5,
20250320 09:54:06,280_380V_10A_9,243,803,10,3290.5,329.4,5.2,218.5,
20250320 09:54:07,280_380V_10A_9,244,803.1,9.99,3293,329.4,5.2,218.5,
20250320 09:54:07,280_380V_10A_9,243,803.1,9.99,3294,329.3,5.2,218.5,
20250320 09:54:07,280_380V_10A_9,223,803.4,9.99,3394,339.4,5.3,219,
20250320 09:54:08,280_380V_10A_9,222,803.5,10,3390.5,339.4,5.3,219,
20250320 09:54:09,280_380V_10A_9,225,803.7,9.99,3395,339.5,5.3,219,
20250320 09:54:09,280_380V_10A_9,223,802.9,9.99,3394,339.4,5.3,219,
20250320 09:54:10,280_380V_10A_9,222,802.9,10,3390.5,339.4,5.3,218.5,
20250320 09:54:10,280_380V_10A_9,221,803,10,3391.5,339.5,5.3,218.5,
20250320 09:54:11,280_380V_10A_9,223,802.9,9.99,3391.5,339.4,5.4,218.5,
20250320 09:54:11,280_380V_10A_9,223,803.6,9.99,3395,339.4,5.3,218.5,
20250320 09:54:12,280_380V_10A_9,222,803.1,10,3391.5,339.4,5.4,218.5,
20250320 09:54:12,280_380V_10A_9,223,804,9.99,3490.5,349.5,5.5,218.5,
20250320 09:54:13,280_380V_10A_9,200,803,10,3490.5,349.4,5.5,218.5,
20250320 09:54:13,280_380V_10A_9,201,803.9,9.99,3490.5,349.4,5.5,218.5,
