DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250321 11:07:32,280_350V_25A_1,300,9.4,0.09,25,279.4,0,218.5,
20250321 11:07:33,280_350V_25A_1,300,9.4,0.09,25,279.4,0,218.5,
20250321 11:07:34,280_350V_25A_1,300,9.4,0.08,25,279.4,0,219,
20250321 11:07:34,280_350V_25A_1,300,78.5,0.09,25,279.5,1.3,219,
20250321 11:07:35,280_350V_25A_1,300,549.7,0.09,25,279.4,0.6,219,
20250321 11:07:36,280_350V_25A_1,300,680.4,0.09,25,279.4,0.4,219,
20250321 11:07:36,280_350V_25A_1,300,701.4,0.09,25,279.4,0.7,219,
20250321 11:07:37,280_350V_25A_1,300,692.9,5.29,1514,279.4,2.6,218.5,
20250321 11:07:37,280_350V_25A_1,216,688.5,10,2792,279.5,4.4,218.5,
20250321 11:07:38,280_350V_25A_1,217,687.5,9.99,2795,279.5,4.4,218.5,
20250321 11:07:38,280_350V_25A_1,217,687.4,9.99,2795,279.5,4.4,218.5,
20250321 11:07:39,280_350V_25A_1,216,687.8,10,2792,279.5,4.4,218.5,
20250321 11:07:40,280_350V_25A_1,217,687.7,9.99,2795,279.5,4.4,218.5,
20250321 11:07:40,280_350V_25A_1,216,687.9,10,2792,279.5,4.4,218.5,
20250321 11:07:41,280_350V_25A_1,216,687.8,10,2792,279.5,4.4,218.5,
20250321 11:07:41,280_350V_25A_1,218,687.7,9.99,2795,289.4,4.4,219,
20250321 11:07:42,280_350V_25A_1,197,688,10,2892,289.5,4.5,219,
20250321 11:07:42,280_350V_25A_1,199,687.6,9.99,2895,289.5,4.5,219,
20250321 11:07:43,280_350V_25A_1,198,688.3,10,2895,289.5,4.6,219,
20250321 11:07:44,280_350V_25A_1,198,687.9,9.99,2895,289.5,4.6,219,
20250321 11:07:44,280_350V_25A_1,156,691.7,14.77,4294.5,289.6,6.9,218.5,
20250321 11:07:45,280_350V_25A_1,174,726.7,15,4339.5,289.5,6.8,218.5,
20250321 11:07:46,280_350V_25A_1,175,726.8,14.99,4344,289.6,6.8,218.5,
20250321 11:07:46,280_350V_25A_1,174,726.8,14.99,4488,299.5,7,218.5,
20250321 11:07:47,280_350V_25A_1,177,750.8,15,4491,299.6,7.1,218.5,
20250321 11:07:47,280_350V_25A_1,179,750.5,14.99,4494,299.6,7,218.5,
20250321 11:07:48,280_350V_25A_1,177,751.9,15,4491,299.7,7.1,218.5,
20250321 11:07:49,280_350V_25A_1,179,751.4,14.99,4494,299.7,7,218.5,
20250321 11:07:49,280_350V_25A_1,177,751.3,15,4491,299.6,7.1,218.5,
20250321 11:07:50,280_350V_25A_1,178,750.8,14.99,4492.5,299.5,7.1,218.5,
20250321 11:07:50,280_350V_25A_1,177,751.4,15,4492.5,299.6,7,218.5,
20250321 11:07:51,280_350V_25A_1,179,752.3,14.99,4494,299.6,7.1,218.5,
20250321 11:07:52,280_350V_25A_1,180,774.1,15,4640.5,309.5,7.3,218.5,
20250321 11:07:52,280_350V_25A_1,182,777.2,14.99,4642.5,309.5,7.3,218.5,
20250321 11:07:53,280_350V_25A_1,181,776.9,15,4640.5,309.5,7.2,218.5,
20250321 11:07:54,280_350V_25A_1,182,775.8,14.99,4642.5,309.5,7.3,218.5,
20250321 11:07:54,280_350V_25A_1,181,776.1,15,4639,309.5,7.3,218.5,
20250321 11:07:55,280_350V_25A_1,181,776.5,15,4639,309.6,7.3,218.5,
20250321 11:07:56,280_350V_25A_1,182,774.9,15.44,4818.5,309.5,8.4,218.5,
20250321 11:07:56,280_350V_25A_1,142,775.4,24.32,7575,319.5,12.3,218,
20250321 11:07:57,280_350V_25A_1,142,801,24.99,7993,319.6,12.3,218,
20250321 11:07:58,280_350V_25A_1,141,802.9,25,7989,319.7,12.3,218.5,
20250321 11:07:58,280_350V_25A_1,141,801.2,25.01,7984,319.6,12.4,218.5,
20250321 11:07:59,280_350V_25A_1,142,803,24.99,7990.5,319.5,12.4,218.5,
20250321 11:08:00,280_350V_25A_1,142,801.7,24.99,7987.5,319.6,12.4,218.5,
20250321 11:08:00,280_350V_25A_1,141,801.9,25,7984,319.6,12.4,218.5,
20250321 11:08:01,280_350V_25A_1,142,800.8,25,7987.5,319.5,12.4,218.5,
20250321 11:08:01,280_350V_25A_1,141,800.4,24.99,8230.5,329.5,12.7,218.5,
20250321 11:08:02,280_350V_25A_1,136,802.8,24.99,8237.5,329.6,12.7,218.5,
20250321 11:08:03,280_350V_25A_1,136,803.3,25,8234,329.5,12.6,218.5,
20250321 11:08:03,280_350V_25A_1,136,803.2,25,8234,329.5,12.6,218,
20250321 11:08:04,280_350V_25A_1,136,803.1,24.99,8240,329.5,12.6,218,
